PropertyGFATotal,PropertyGFABuilding(s),NumberofFloors,NumberofBuildings,YearBuilt,PrimaryPropertyType,LargestPropertyUseTypeGFA,ZipCode,Neighborhood,Latitude,Longitude,ENERGYSTARScore,log_TotalGHGEmissions,log_SiteEnergyUse_kBtu,BuildingAge,AvgFloorArea,GFATotal_per_Building,PrimaryPropertyType_grouped,log_PropertyGFATotal,log_LargestPropertyUseTypeGFA,log_AvgFloorArea
41536,41536,5.0,1.0,1908,Other,41536.0,98104.0,DOWNTOWN,47.60547,-122.33118,67.0,2.9992261628082466,14.82170305230318,108,8307.2,41536.0,Other,10.634339875274723,10.634339875274723,9.024998257888724
35820,35820,6.0,1.0,1909,Hotel,35820.0,98104.0,DOWNTOWN,47.60223,-122.32889,94.0,4.879615031657852,15.015958356751849,107,5970.0,35820.0,Hotel,10.486289592589621,10.486289592589621,8.694669696546992
33462,33462,2.0,1.0,1922,K-12 School,57896.0,98116.0,SOUTHWEST,47.56542,-122.38502,76.0,5.226982468943414,15.19860392636903,94,16731.0,33462.0,K-12 School,10.41819562981634,10.96642084874722,9.72507833256209
49744,49744,3.0,1.0,1965,K-12 School,49744.0,98116.0,SOUTHWEST,47.56504,-122.38455,98.0,4.503026712319388,14.555940338317887,51,16581.333333333332,49744.0,K-12 School,10.81466523502346,10.81466523502346,9.716093150592883
25762,25762,2.0,1.0,1946,Supermarket / Grocery Store,25762.0,98126.0,SOUTHWEST,47.56197,-122.38109,100.0,2.659559991941776,14.46071979548618,70,12881.0,25762.0,Supermarket / Grocery Store,10.156694633064722,10.156694633064722,9.463586267106836
43387,43387,3.0,1.0,1981,Small- and Mid-Sized Office,45000.0,98126.0,SOUTHWEST,47.56175,-122.37835,60.0,3.5596246182566738,14.803848797835942,35,14462.333333333334,43387.0,Small- and Mid-Sized Office,10.677938184160109,10.714439990727769,9.579371990124287
37500,37500,1.0,1.0,1985,Warehouse,61419.0,98108.0,GREATER DUWAMISH,47.552,-122.32262,36.0,2.6504210882655737,14.409669860520683,31,37500.0,37500.0,Warehouse,10.53212287826962,11.025490793994813,10.53212287826962
39000,39000,2.0,1.0,1990,Medical Office,39000.0,98122.0,CENTRAL,47.60132,-122.30477,25.0,3.5530597309714014,14.776869775240115,26,19500.0,39000.0,Medical Office,10.571342565808699,10.571342565808699,9.87822102528824
25480,25480,1.0,1.0,1953,Refrigerated Warehouse,25480.0,98144.0,GREATER DUWAMISH,47.58528,-122.30595,67.0,1.8196988379172965,13.516144745673657,63,25480.0,25480.0,Other,10.145688355383795,10.145688355383795,10.145688355383795
31000,31000,2.0,1.0,1970,Warehouse,31000.0,98144.0,GREATER DUWAMISH,47.58482,-122.30501,67.0,3.0411835364579085,14.64887381689445,46,15500.0,31000.0,Warehouse,10.34177474101152,10.34177474101152,9.648659816955295
39170,39170,2.0,1.0,1970,Small- and Mid-Sized Office,35500.0,98144.0,SOUTHEAST,47.5859,-122.29957,81.0,4.159820144181012,14.571949271557695,46,19585.0,39170.0,Small- and Mid-Sized Office,10.575691956076149,10.477316144080852,9.88257030428074
